PN	Section	Features	Grade	Params_preview
SZ18201	85系列/phy系列	消费级 以太网	消费级	简介: FE PHY 消费级 | 封装: QFN32 | 制程: 110nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 1FE | 接口: RMII /MII(支持3.3V) | Note: P2P 兼容 Rxx8201F   不支持100M fiber 功能兼容IP101/DP83848等
YT6801	68系列网卡	消费级 以太网 网卡	消费级	简介: 千兆网卡 消费级 | 封装: QFN32/40 | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 1GE | 接口: PCIE 1.1 | Note: P2P 兼容  RTL8111H 功能兼容I210等
YT6801S	68系列网卡	消费级 以太网 网卡	消费级	简介: 千兆网卡 消费级 | 封装: QFN32/40 | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 1GE | 接口: PCIE 1.1 | Note: P2P 兼容  RTL8111HS 功能兼容I210等
YT6801SH	68系列网卡	工业级 以太网 网卡	工业级	简介: 千兆网卡 工业级 | 封装: QFN32/40 | 制程: 55nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 1GE | 接口: PCIE 1.1 | Note: P2P 兼容  RTL8111HS 功能兼容I210等
YT8010A	80系列/车规	以太网 工业级	工业级	简介: FE PHY 车规 100Base-T1 | 封装: QFN36 | 制程: 130nm | 状态: MP | 工作环境温度: -40°C-125°C | 端口: 802.3bw | 接口: MII/RMII/RGMII (RGMII/RMII/MII支持3.3V/2.5V) | Note: P2P BCM89811,功能兼容RTL9000B系列
YT8011A	80系列/车规	以太网 工业级	工业级	简介: GE PHY 车载1000base-T1 | 封装: QFN48 | 制程: 28nm | 状态: MP | 工作环境温度: -40°C-125°C | 端口: 802.3bw/802.3bp | 接口: RGMII & SGMII (RGMII支持3.3V/2.5V/1.8V) | Note: P2P兼容RTL9010AA
YT8011AN	80系列/车规	以太网 工业级	工业级	简介: GE PHY 车载1000base-T1 | 封装: QFN48 | 制程: 28nm | 状态: MP | 工作环境温度: -40°C-125°C | 端口: 802.3bw/802.3bp | 接口: RGMII & SGMII (RGMII支持3.3V/2.5V/1.8V) | Note: P2P兼容RTL9010AA
YT8011AR	80系列/车规	以太网 工业级	工业级	简介: GE PHY 车载1000base-T1 | 封装: QFN40 | 制程: 28nm | 状态: MP | 工作环境温度: -40°C-125°C | 端口: 802.3bw/802.3bp | 接口: RGMII(支持3.3V/2.5V/1.8V) | Note: P2P兼容RTL9010ARG
YT8111H	81系列/phy系列	工业级 以太网	工业级	简介: PHY 10base-T1L | 封装: QFN40 | 制程: 55nm | 状态: Engineering Sample | 工作环境温度: -40°C-105°C | 端口: 802.3cg | 接口: MII/RMII/RGMII (RGMII/RMII/MII支持3.3V/2.5V/1.8V) | Note: P2P兼容adin1100
YT8510C	85系列/phy系列	消费级 以太网 PHY	消费级	简介: FE PHY LRE 消费级 | 封装: QFN40 | 制程: 110nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 1FE  LRE100-1 | 接口: MII/RMII/RGMII (RGMII/RMII/MII支持3.3V/2.5V) | Note: BCM54811/RTL8201G
YT8510H	85系列/phy系列	工业级 以太网 PHY	工业级	简介: FE PHY LRE 工业级 | 封装: QFN40 | 制程: 110nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 1FE LRE100-1 | 接口: MII/RMII/RGMII (RGMII/RMII/MII支持3.3V/2.5V) | Note: BCM54811/RTL8201G
YT8511C	85系列/phy系列	消费级 以太网 PHY	消费级	简介: GE PHY 消费级 | 封装: QFN40 | 制程: 110nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 1GE  LRE100-4 | 接口: RGMII (RGMII支持3.3V/2.5V) | Note: P2P 兼容 AR8035
YT8511H	85系列/phy系列	工业级 以太网 PHY	工业级	简介: GE PHY 工业级 | 封装: QFN40 | 制程: 110nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 1GE  LRE100-4 | 接口: RGMII (RGMII支持3.3V/2.5V) | Note: P2P 兼容 AR8035
YT8512C	85系列/phy系列	消费级 以太网 PHY	消费级	简介: FE PHY 消费级 | 封装: QFN32 | 制程: 110nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 1FE | 接口: MII/RMII(支持3.3V) | Note: P2P 兼容 RTL8201F   支持LD  只有3.3V 功能兼容IP101/DP83848等
YT8512H	85系列/phy系列	工业级 以太网 PHY	工业级	简介: FE PHY 工业级 | 封装: QFN32 | 制程: 110nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 1FE | 接口: MII/RMII(支持3.3V) | Note: P2P 兼容 RTL8201FI   支持LD 只有3.3V 功能兼容IP101GRI, DP83848/83822/83823/83826, KSZ8041/8081/8721, LAN8700/8710/8720等
YT8521SC-CA	85系列/phy系列	消费级 以太网 PHY	消费级	简介: GE PHY SYNC-E 消费级 | 封装: QFN48 | 制程: 110nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 1GE LRE100-4 | 接口: RGMII/SGMII (RGMII支持3.3V/2.5V/1.8V) (Serdes 支持Fiber1000/100/SGMII) | Note: P2P 兼容 RTL8211FS 功能兼容AR8033/KSZ9031/DP83867/B50212/B50612/88E1111/151x等
YT8521SH-CA	85系列/phy系列	工业级 以太网 PHY	工业级	简介: GE PHY SYNC-E 工业级 | 封装: QFN48 | 制程: 110nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 1GE  LRE100-4 | 接口: RGMII/SGMII (RGMII支持3.3V/2.5V/1.8V) (Serdes 支持Fiber1000/100/SGMII) | Note: P2P 兼容 RTL8211FSI 功能兼容AR8033/KSZ9031/DP83867/B50212/B50612/88E1111/151x等
YT8522A	85系列/phy系列	以太网 工业级 PHY	工业级	简介: FE PHY 工业级特殊场景 支持100FX | 封装: QFN32 | 制程: 110nm | 状态: MP | 工作环境温度: -40°C-105°C | 端口: 1FE | 接口: MII/RMII(支持3.3V/2.5/1.8V/1.5V) | Note: 满足Automotive Application AEC-Q100 Grade 2
YT8522C	85系列/phy系列	消费级 以太网 PHY	消费级	简介: FE PHY 消费级 支持100FX | 封装: QFN32 | 制程: 110nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 1FE | 接口: MII/RMII(支持3.3V/2.5/1.8V/1.5V) | Note: P2P 兼容RTL82X1/JL11X1
YT8522E	85系列/phy系列	工业级 以太网 PHY	工业级	简介: FE PHY 工业级特殊场景 支持100FX | 封装: QFN32 | 制程: 110nm | 状态: MP | 工作环境温度: -40°C-125°C | 端口: 1FE | 接口: MII/RMII(支持3.3V/2.5/1.8V/1.5V)
YT8522H	85系列/phy系列	工业级 以太网 PHY	工业级	简介: FE PHY 工业级 支持100FX | 封装: QFN32 | 制程: 110nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 1FE | 接口: MII/RMII(支持3.3V/2.5/1.8V/1.5V) | Note: P2P 兼容RTL82X1/JL11X1
YT8531C-CA	85系列/phy系列	消费级 以太网 PHY	消费级	简介: GE PHY 消费级 | 封装: QFN40 | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 1GE LRE100-4 | 接口: RGMII (RGMII支持3.3V/2.5V/1.8V) | Note: P2P 兼容 RTL8211F 功能兼容AR8035/KSZ9031/DP83867/B50212/B50612/88E1111/151x等
YT8531DC-CA	85系列/phy系列	消费级 以太网 PHY	消费级	简介: GE PHY 消费级 | 封装: QFN40 | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 1GE LRE100-4 | 接口: RGMII (RGMII支持3.3V/2.5V/1.8V) | Note: P2P 兼容 RTL8211FD
YT8531DH-CA	85系列/phy系列	工业级 以太网 PHY	工业级	简介: GE PHY 工业级 | 封装: QFN40 | 制程: 55nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 1GE LRE100-4 | 接口: RGMII (RGMII支持3.3V/2.5V/1.8V) | Note: P2P 兼容 RTL8211FDI
YT8531H-CA	85系列/phy系列	工业级 以太网 PHY	工业级	简介: GE PHY 工业级 | 封装: QFN40 | 制程: 55nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 1GE LRE100-4 | 接口: RGMII (RGMII支持3.3V/2.5V/1.8V) | Note: P2P 兼容 RTL8211FI 功能兼容AR8035/KSZ9031/DP83867/B50212/B50612/88E1111/151x等
YT8531P-CA	85系列/phy系列	消费级 以太网 PHY	消费级	简介: GE PHY 消费级 | 封装: QFN40 | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 1GE LRE100-4 | 接口: RGMII (RGMII支持3.3V/2.5V/1.8V) | Note: P2P 兼容 RTL8211FP
YT8531SC-CA	85系列/phy系列	消费级 以太网 PHY	消费级	简介: GE PHY 消费级 | 封装: QFN48 | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 1GE LRE100-4 | 接口: RGMII/Serdes (RGMII支持3.3V/2.5V/1.8V) (Serdes 支持Fiber1000/100/SGMII) | Note: P2P 兼容 RTL8211FS 功能兼容AR8033/KSZ9031/DP83867/B50212/B50612/88E1111/88E151x等
YT8531SH-CA	85系列/phy系列	工业级 以太网 PHY	工业级	简介: GE PHY 工业级 | 封装: QFN48 | 制程: 55nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 1GE LRE100-4 | 接口: RGMII/serdes (RGMII支持3.3V/2.5V/1.8V) (Serdes 支持Fiber1000/100/SGMII) | Note: P2P 兼容 RTL8211FSI 功能兼容AR8033/KSZ9031/DP83867/B50212/B50612/88E1111/88E151x等
YT8543C	85系列/phy系列	消费级 以太网 PHY	消费级	简介: 2GE PHY消费级 | 封装: QFN68 | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 2GE | 接口: RGMII(支持3.3V/2.5V/1.8V/1.5V)
YT8543H	85系列/phy系列	工业级 以太网 PHY	工业级	简介: 2GE PHY 工业级 | 封装: QFN68 | 制程: 55nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 2GE | 接口: RGMII(支持3.3V/2.5V/1.8V/1.5V)
YT8614C	85/86系列/多口Phy	消费级 PHY	消费级	简介: 4GCombo 消费级 | 封装: LQFP176-E | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 4*SGMII /4GE | 接口: QSGMII | Note: P2P 兼容 RTL8214FC
YT8614H	85/86系列/多口Phy	工业级 PHY	工业级	简介: 4GCombo 工业级 | 封装: LQFP176-E | 制程: 55nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 4*SGMII /4GE | 接口: QSGMII | Note: P2P 兼容 RTL8214FCI
YT8614QC	85/86系列/多口Phy	消费级 PHY	消费级	简介: 4Fiber 消费级 | 封装: QFN88-E | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 4*SGMII/1000ASE-X | 接口: QSGMII | Note: P2P 兼容  RTL8214QF
YT8614QH	85/86系列/多口Phy	工业级 PHY	工业级	简介: 4Fiber 工业级 | 封装: QFN88-E | 制程: 55nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 4*SGMII/1000ASE-X | 接口: QSGMII | Note: P2P 兼容  RTL8214QFI
YT8618C	85/86系列/多口Phy	消费级 以太网 PHY	消费级	简介: 8GE PHY 消费级 | 封装: LQFP128-E | 制程: 55nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 8GE | 接口: 2*QSGMII | Note: P2P 兼容 RTL8218B 功能兼容88E1680/VSC8658等
YT8618H	85/86系列/多口Phy	工业级 以太网 PHY	工业级	简介: 8GE PHY 工业级 | 封装: LQFP128-E | 制程: 55nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 8GE | 接口: 2*QSGMII | Note: P2P 兼容 RTL8218BI 功能兼容88E1680/VSC8658等
YT8628C	85/86系列/多口Phy	消费级 以太网 PHY	消费级	简介: 8GE PHY 消费级 | 封装: LQFP128-E | 制程: 28nm | 状态: ES 25/Q1 | 工作环境温度: 0°C-70°C | 端口: 8GE | 接口: 2*QSGMII/1*O-USGMII | Note: P2P 兼容 RTL8218E/NF1008 功能兼容88E1680/VSC8658等
YT8628H	85/86系列/多口Phy	工业级 以太网 PHY	工业级	简介: 8GE PHY 工业级 | 封装: LQFP128-E | 制程: 28nm | 状态: ES 25/Q1 | 工作环境温度: -40°C-85°C | 端口: 8GE | 接口: 2*QSGMII/1*O-USGMII | Note: P2P 兼容 RTL8218EI/NF1008 功能兼容88E1680/VSC8658等
YT8821C	88系列PHY	消费级 以太网	消费级	简介: 2.5GPHY 消费级 | 封装: QFN48 | 制程: 28nm | 状态: MP | 工作环境温度: 0°C-70°C | 端口: 2.5GE | 接口: SGMII-Plus serdes支持2500BASEX/fiber1000/100/SGMII | Note: P2P 兼容 RTL8221B
YT8821H	88系列PHY	工业级 以太网	工业级	简介: 2.5GPHY 工业级 | 封装: QFN48 | 制程: 28nm | 状态: MP | 工作环境温度: -40°C-85°C | 端口: 2.5GE | 接口: SGMII-Plus serdes支持2500BASEX/fiber1000/100/SGMII | Note: P2P 兼容 RTL8221BI
YT8824C	88系列PHY	消费级 以太网	消费级	简介: 4口2.5GPHY 消费级 | 封装: DRQFN172 | 制程: 28nm | 状态: ES 25/Q1 | 工作环境温度: 0°C-70°C | 端口: 4*2.5GE | 接口: USXGMII | Note: P2P 兼容QCA8085, 功能兼容RTL8224N/88E2540/GPY245
YT8824H	88系列PHY	工业级 以太网	工业级	简介: 4口2.5GPHY 工业级 | 封装: DRQFN172 | 制程: 28nm | 状态: ES 25/Q1 | 工作环境温度: -40°C-85°C | 端口: 4*2.5GE | 接口: USXGMII | Note: P2P 兼容QCA8085, 功能兼容RTL8224N/88E2540/GPY245
